No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	22uF	C5	C0805	22uF	0805X226M160NT	FH(风华)	C129302	LCSC
2	5	100nF	C6,C9,C10,C11,C12	C0402	100nF	C0402X7R160-104MNE	Venkel	C3839219	LCSC
3	2	10uF	C7,C8	C0805	10uF	0805F106M100	Walsin(华新科)	C105506	LCSC
4	2	17-21SURC/S530-A3/TR8	LED1,LED2	LED0805-R-RD		17-21SURC/S530-A3/TR8	EVERLIGHT(亿光)	C72037	LCSC
5	2	330Ω	R1,R4	R0805	330Ω	FRC0805J331 TS	FOJAN(富捷)	C2907321	LCSC
6	3	10kΩ	R2,R3,R6	R0805	10kΩ	FRC0805J103TS	FOJAN(富捷)	C2930231	LCSC
7	2	5.1kΩ	R7,R8	R0805	5.1kΩ	0805W8F5101T5E	UNI-ROYAL(厚声)	C27834	LCSC
8	2	Screw-Hole-M2	SCREW1,SCREW2	Screw-Hole-M2					
9	2	button	SW2,SW3	SW-SMD_L3.9-W3.0-P4.45		button	XUNPU(讯普)	C720477	LCSC
10	1	2.4GHz	U1	WIFI-SMD_ESP32-WROOM-32E	2.4GHz	ESP32-WROOM-32E-N4	ESPRESSIF(乐鑫)	C701341	LCSC
11	1	XT60-F	U5	CONN-TH_XT60PB-F		XT60-F	AMASS(艾迈斯)	C98734	LCSC
12	1	ICM-42688-P	U7	LGA-14_L3.0-W2.5-P0.50-TL		ICM-42688-P	TDK InvenSense(应美盛)	C1850418	LCSC
13	4	CON3-2.54	U8,U9,U10,U12	HDR-TH_3P-P2.54-V-M-1		CON3-2.54		C9900003715	LCSC
14	1	2.2uH	U13	IND-SMD_L4.5-W4.0_SLF0403-1	2.2uH	CY43-2.2UH	SHOU HAN(首韩)	C2929416	LCSC
15	1	AP63205WU-7	U14	TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		AP63205WU-7	DIODES(美台)	C2071056	LCSC
16	1	AMS1117-3.3	U15	TO-252-2_L6.6-W5.6-P2.3-LS9.7		AMS1117-3.3	YONGYUTAI(永裕泰)	C41414107	LCSC
17	1	CH340C	U16	SOP-16_L10.0-W3.9-P1.27-LS6.0-BL		CH340C	WCH(南京沁恒)	C84681	LCSC
18	1	TYPE-C-16PIN	USB1	USB-C-SMD_TYPE-C16PIN-SHOUHAN		TYPE-C-16PIN	JXTCONN(聚兴泰)	C53207801	LCSC
